姓名,性别,学号,籍贯,生源地,联系电话,邮箱,民族,专业,班级,政治面貌,爱好,素质拓展学分,四级通过,六级通过,计算机二级通过,总排名,平均绩点,应修学分,已修学分,挂科科目总学分,挂科数目,是否学业警示,高考成绩,应用多元统计分析总评成绩,面板数据分析总评成绩,挂科科目,参加讲座次数,参加社团名称,参加社团数目,参加竞赛数目,参加竞赛名称,荣誉称号次数,去图书馆次数,食堂吃早饭的次数,食堂吃午饭的次数,食堂吃晚饭的次数,骑小绿的次数,坐小白的次数,校园卡消费总金额,食堂消费金额,身高,体重,助学金次数,奖学金次数,寝室地址,惩罚,工作地点,工作行业,就业状态,家庭年收入,校园卡消费总金额,家庭受教育子女数,家庭劳动力占比,家人重病,自然灾害,突发事故,是否烈士子女,是否孤儿,是否残疾,是否单亲家庭
文本,1-男，2女,数值,文本,文本,数值,文本,文本,1-应用统计学，2-数据科学与大数据，3-土木工程 ，4-应用物理，5-测控技术与仪器,数值,1-党员，2-预备党员，3-入党积极分子，4-团员，5-群众,文本,数值,1-是，0-否,1-是，0-否,1-是，0-否,数值,数值，两位小数,数值,数值,数值,数值,1-是，0-否,数值,数值,数值,数值,数值,文本,数值,数值,文本,数值,数值,数值,数值,数值,数值,数值,（元）,（元）,（cm）,（kg）,数值,数值,（关联表1）,0-无，1-警告、2-记过、3-留校察看,文本,文本,1-工作，2-出国，3-考研，4-公务员，5-未就业,数值（万元）,（元）,数值,"范围【0,1】",0-无，1-1人，2-2人，3-3人及以上,0-无，1-比较严重，2-非常严重,1-是，0-无,1-是，0-否,1-是，0-否,1-是，0-否,1-是，0-否
邱彬,1,161203105362,广东湛江,广东湛江,13104742122,217272829@qq.com,汉,1,1,1,篮球,3,1,1,1,1,4,120,120,0,0,0,500,89,89,null,11,篮球社团,1,0,null,1,20,20,21,19,20,5,1000,900,170,60,0,0,1栋203,0,珠海,金融,1,10,1000,1,0.2,1,0,0,0,0,0,0
钟凯,2,161203105315,广东广州,广东广州,13528876016,987272830@qq.com,汉,1,2,1,篮球,3,1,1,1,2,3.9,120,120,0,0,0,501,92,86,null,12,篮球社团,1,0,null,1,21,21,22,20,21,6,1001,901,170,60,0,0,1栋204,0,珠海,金融,1,15,1001,2,0.2,0,0,1,0,0,0,0
谢泳,2,161203105349,广东佛山,广东佛山,13929933272,987234831@qq.com,汉,1,1,1,篮球,3,1,1,1,3,3.89,120,120,0,0,0,502,82.6,93,null,13,篮球社团,1,0,null,1,22,22,23,21,22,7,1002,902,170,60,0,0,1栋205,0,广州,教育,1,20,1002,3,0.2,2,0,0,0,0,0,0
林丹,1,161203105317,广东汕头,广东汕头,13527201242,112223313@qq.com,汉,1,2,1,篮球,3,1,1,1,4,3.88,120,120,0,0,0,503,85.2,85,null,14,篮球社团,1,0,null,1,23,23,24,22,23,8,1003,903,170,60,0,0,1栋206,0,珠海,家电,1,30,1003,1,0.2,3,0,0,0,0,0,0
陈杏,2,161203105357,广东新会,广东新会,13113432366,913283311@qq.com,汉,1,2,1,篮球,3,1,1,1,5,3.87,120,120,0,0,0,504,86.8,91,null,15,音乐社团,1,0,null,1,24,24,25,23,24,9,1004,904,171,60,0,0,1栋207,0,佛山,家电,1,40,1004,1,1,1,0,1,0,0,0,0
邹德,1,161203105358,广东廉江,广东廉江,13415005497,987221324@qq.com,汉,1,1,1,篮球,3,1,1,1,6,3.86,120,120,0,0,0,505,82,77,null,16,音乐社团,1,0,null,2,25,25,26,24,25,10,1005,905,171,60,0,0,1栋208,0,广州,互联网,1,10,1005,1,1,0,0,0,0,0,0,0
张超,2,161203105360,广东吴川,广东吴川,13149317299,117272835@qq.com,汉,1,2,2,书法 ,3,1,1,1,7,3.82,120,114,0,0,0,506,69,93,null,17,音乐社团,1,0,null,2,26,26,27,25,26,11,1006,906,171,60,0,0,1栋209,0,广州,互联网,1,30,1006,1,1,2,0,0,0,0,0,0
陈美,1,161203105363,广东茂名,广东茂名,15625179831,342272836@qq.com,汉,1,2,2,足球,4,1,1,1,8,3.79,120,114,0,0,0,507,84.4,79,null,18,徒步社团,1,1,全国数学建模大赛,2,27,27,28,26,27,12,1007,907,171,60,0,0,2栋210,0,广州,互联网,1,20,1007,1,1,3,0,1,0,0,0,0
梁绮,2,161203105364,广东肇庆,广东肇庆,13711330391,123427287@qq.com,汉,1,1,2,足球,4,1,1,1,9,3.76,120,114,0,0,0,508,88,86,null,19,徒步社团，足球社团,2,1,全国数学建模大赛,2,28,28,29,27,28,13,1008,908,169,58,0,0,4栋211,0,深圳,互联网,1,10,1008,1,0.3,0,0,0,0,0,0,0
严奕,1,161203105366,广东肇庆,广东肇庆,13149306400,234172838@qq.com,汉,1,2,2,足球,4,1,1,1,10,3.68,120,114,0,0,0,509,94,89,null,20,徒步社团，足球社团,2,1,全国数学建模大赛,2,29,29,30,28,29,14,1009,909,169,58,0,0,5栋212,0,深圳,互联网,1,13,1009,1,0.3,0,0,0,0,0,0,1
